,vocab
1481,哀
1482,品
1483,哈
1484,哉
1485,哎
1486,員
1487,哥
1488,哦
1489,哪
1490,哭
1491,哲
1492,唄
1493,唇
1494,唐
1495,唯
1496,唱
1497,商
1498,啊
1499,問
1500,啓
1501,啦
1502,善
1503,喆
1504,喉
1505,喚
1506,喜
1507,喝
1508,喧
1509,喪
1510,喬
1511,單
1512,喰
1513,営
1514,嗚
1515,嗣
1516,嗯
1517,嘆
1518,嘉
1519,嘘
1520,嘩
1521,嘻
1522,嘿
1523,噂
1524,噛
1525,器
1526,嚴
1527,囗
1528,囚
1529,四
1530,回
1531,因
1532,团
1533,団
1534,园
1535,困
1536,囲
1537,図
1538,固
1539,国
1540,圈
1541,國
1542,圍
1543,園
1544,圓
1545,圖
1546,團
1547,土
1548,圣
1549,圧
1550,在
1551,圭
1552,地
1553,场
1554,址
1555,坂
1556,均
1557,坊
1558,坐
1559,坡
1560,坤
1561,坦
1562,坪
1563,垂
1564,垈
1565,型
1566,垢
1567,垣
1568,埋
1569,城
1570,域
1571,執
1572,培
1573,基
1574,埼
1575,堀
1576,堂
1577,堅
1578,堕
1579,堡
1580,堤
1581,堯
1582,報
1583,場
1584,塊
1585,塔
1586,塗
1587,塘
1588,塚
1589,塞
1590,塩
1591,塵
1592,塾
1593,境
1594,墓
1595,増
1596,增
1597,墨
1598,墳
1599,壁
1600,壇
1601,壊
1602,壓
1603,壞
1604,壤
1605,士
1606,壬
1607,壮
1608,壯
1609,声
1610,壱
1611,売
1612,壹
1613,壺
1614,壽
1615,处
1616,备
1617,変
1618,夏
1619,夕
1620,外
1621,多
1622,夜
1623,夢
1624,大
1625,天
1626,太
1627,夫
1628,央
1629,失
1630,头
1631,夷
1632,奇
1633,奈
1634,奉
1635,奎
1636,奏
1637,契
1638,奔
1639,奥
1640,奧
1641,奪
1642,奭
1643,奮
1644,女
1645,奴
1646,她
1647,好
1648,如
1649,妃
1650,妄
1651,妓
1652,妖
1653,妙
1654,妬
1655,妹
1656,妻
1657,妾
1658,姉
1659,始
1660,姐
1661,姑
1662,姓
1663,委
1664,姚
1665,姜
1666,姦
1667,姫
1668,姬
1669,姿
1670,威
1671,娘
1672,娜
1673,婁
1674,婆
1675,婚
1676,婢
1677,婦
1678,媒
1679,媛
1680,媤
1681,嫁
1682,嫉
1683,嫌
1684,嫡
1685,嬉
1686,嬢
1687,嬪
1688,子
1689,孔
1690,字
1691,存
1692,孝
1693,孟
1694,季
1695,孤
1696,学
1697,孩
1698,孫
1699,學
1700,宀
1701,宁
1702,宅
1703,宇
1704,守
1705,安
1706,宋
1707,完
1708,宏
1709,宗
1710,官
1711,宙
1712,定
1713,宛
1714,宜
1715,宝
1716,实
1717,実
1718,客
1719,宣
1720,室
1721,宮
1722,宰
1723,害
1724,宴
1725,宵
1726,家
1727,宸
1728,容
1729,宿
1730,寂
1731,寄
1732,寅
1733,密
1734,寇
1735,富
1736,寒
1737,寛
1738,寝
1739,察
1740,寡
1741,實
1742,寧
1743,審
1744,寫
1745,寬
1746,寮
1747,寵
1748,寶
1749,寸
1750,对
1751,寺
1752,対
1753,寿
1754,封
1755,専
1756,射
1757,将
1758,將
1759,專
1760,尉
1761,尊
1762,尋
1763,對
1764,導
1765,小
1766,少
1767,尔
1768,尖
1769,尙
1770,尚
1771,尤
1772,就
1773,尸
1774,尹
1775,尺
1776,尻
1777,尼
1778,尽
1779,尾
1780,局
1781,居
1782,屈
1783,届
1784,屋
1785,屍
1786,屑
1787,展
1788,屛
1789,属
1790,屠
1791,層
1792,履
1793,屬
1794,屯
1795,山
1796,岐
1797,岛
1798,岡
1799,岩
1800,岬
1801,岳
1802,岸
1803,峙
1804,峡
1805,峨
1806,峯
1807,峰
1808,峴
1809,島
1810,峻
1811,崇
1812,崎
1813,崔
1814,崖
1815,崩
1816,嵌
1817,嵐
1818,嶋
1819,嶺
1820,嶽
1821,巖
1822,川
1823,州
1824,巡
1825,巣
1826,工
1827,左
1828,巧
1829,巨
1830,巫
1831,差
1832,己
1833,已
1834,巳
1835,巴
1836,巻
1837,巾
1838,市
1839,布
1840,帆
1841,师
1842,希
1843,帖
1844,帝
1845,帥
1846,師
1847,席
1848,帮
1849,帯
1850,帰
1851,帳
1852,帶
1853,常
1854,帽
1855,幀
1856,幅
1857,幌
1858,幕
1859,幡
1860,幢
1861,幣
1862,干
1863,平
1864,年
1865,并
1866,幸
1867,幹
1868,幺
1869,幻
1870,幼
1871,幽
1872,幾
1873,广
1874,庁
1875,広
1876,庄
1877,床
1878,序
1879,应
1880,底
1881,店
1882,庚
1883,府
1884,度
1885,座
1886,庫
1887,庭
1888,庵
1889,庶
1890,康
1891,庸
1892,庾
1893,廃
1894,廉
1895,廊
1896,廟
1897,廢
1898,廣
1899,廳
1900,延
1901,廷
1902,建
1903,廻
1904,廿
1905,开
1906,弁
1907,弄
1908,弋
1909,式
1910,弐
1911,弓
1912,弔
1913,引
1914,弗
1915,弘
1916,弟
1917,张
1918,弥
1919,弦
1920,弩
1921,弱
1922,張
1923,強
1924,强
1925,弼
1926,弾
1927,彈
1928,彌
1929,当
1930,彡
1931,形
1932,彦
1933,彩
1934,彫
1935,彬
1936,彭
1937,彰
1938,影
1939,彳
1940,彷
1941,役
1942,彼
1943,往
1944,征
1945,待
1946,很
1947,律
1948,後
1949,徐
1950,徒
1951,従
1952,得
1953,從
1954,御
1955,徨
1956,復
1957,循
1958,微
1959,徳
1960,徵
1961,德
1962,徹
1963,徽
1964,心
1965,必
1966,忌
1967,忍
1968,志
1969,忘
1970,忙
1971,応
1972,忠
1973,快
1974,念
1975,忽
1976,怎
1977,怒
1978,怖
1979,怜
1980,思
1981,怠
1982,怡
1983,急
1984,性
1985,怨
1986,怪
1987,怯
1988,总
1989,恋
1990,恐
1991,恒
1992,恥
1993,恨
1994,恩
1995,恭
1996,息
1997,恵
1998,悅
1999,悌
2000,悔
2001,悟
2002,悠
2003,患
2004,悦
2005,您
2006,悩
2007,悪
2008,悲
2009,悼
2010,情
2011,惑
2012,惜
2013,惟
2014,惠
2015,惡
2016,惨
2017,惱
2018,想
2019,惹
2020,愁
2021,愉
2022,愍
2023,意
2024,愚
2025,愛
2026,感
2027,愼
2028,慈
2029,態
2030,慎
2031,慕
2032,慢
2033,慣
2034,慧
2035,慮
2036,慰
2037,慶
2038,憂
2039,憎
2040,憐
2041,憑
2042,憤
2043,憧
2044,憩
2045,憲
2046,憶
2047,應
2048,懐
2049,懷
2050,懸
2051,懿
2052,戀
2053,戈
2054,戊
2055,戌
2056,戎
2057,成
2058,我
2059,戒
2060,或
2061,战
2062,戚
2063,戦
2064,戯
2065,戰
2066,戱
2067,戴
2068,戶
2069,戸
2070,戻
2071,房
2072,所
2073,扇
2074,扈
2075,扉
2076,手
2077,才
2078,打
2079,払
2080,托
2081,扮
2082,扱
2083,扶
2084,承
2085,技
2086,抄
2087,把
2088,抑
2089,投
2090,抗
2091,折
2092,抜
2093,択
2094,护
2095,报
2096,披
2097,抱
2098,抵
2099,抹
2100,押
2101,担
2102,拉
2103,拍
2104,拒
2105,拓
2106,拔
2107,拘
2108,拙
2109,招
2110,拜
2111,拝
2112,拠
2113,括
2114,拳
2115,拾
2116,持
2117,指
2118,按
2119,挑
2120,挙
2121,挥
2122,挨
2123,振
2124,挺
2125,捕
2126,捜
2127,捧
2128,捨
2129,捷
2130,掃
2131,授
2132,掌
2133,排
2134,掘
2135,掛
2136,採
2137,探
2138,接
2139,控
2140,推
2141,掴
2142,揆
2143,描
2144,提
2145,揚
2146,換
2147,握
2148,揮
2149,援
2150,揺
2151,損
2152,携
2153,摂
2154,摘
2155,摠
2156,摩
2157,撃
2158,撒
2159,撫
2160,播
2161,撮
2162,撰
2163,擇
2164,擊
2165,操
2166,擦
2167,擧
2168,擬
2169,攝
2170,支
2171,收
2172,改
2173,攻
2174,放
2175,政
2176,故
2177,效
2178,敌
2179,敍
2180,敎
2181,敏
2182,救
2183,敗
2184,教
2185,敢
2186,散
2187,敦
2188,敬
2189,数
2190,整
2191,敵
2192,敷
2193,數
2194,文
2195,斉
2196,斎
2197,斐
2198,斑
2199,斗
2200,料
2201,斜
2202,斤
2203,斥
2204,斧
2205,斬
2206,断
2207,斯
2208,新
2209,斷
2210,方
2211,於
2212,施
2213,旅
2214,旋
2215,旌
2216,族
2217,旗
2218,无
2219,既
2220,旣
2221,日
2222,旦
2223,旧
2224,旨
2225,早
2226,旬
2227,旭
2228,时
2229,旺
2230,昆
2231,昇
2232,昊
2233,昌
2234,明
2235,昏
2236,易
2237,昔
2238,星
2239,映
2240,春
2241,昧
2242,昨
2243,昭
2244,是
2245,昼
2246,時
2247,晃
2248,晉
2249,晋
2250,晚
2251,晟
2252,晦
2253,晩
2254,普
2255,景
2256,晴
2257,晶
2258,智
2259,暁
2260,暇
2261,暑
2262,暖
2263,暗
2264,暦
2265,暮
2266,暴
2267,曆
2268,曇
2269,曉
2270,曖
2271,曜
2272,曰
2273,曲
2274,更
